occupants,lighting_interior,lighting_exterior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0493,0.559,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.517,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.0838
1,0.0493,0.517,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.503,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.461,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.503,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.601,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.657,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.475,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.322,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.336,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.35,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.336,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.392,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.433,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.447,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.545,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.741,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.881,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.937,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.993,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.965,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.825,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.699,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.559,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.517,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.517,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.503,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.315,0.461,0.315,0,0.8,0,0,0.524,0.68,0.68,0,0,0
1,0.315,0.503,0.315,0,1,0,0,0.524,0.68,0.68,0,0,0.144
1,0.315,0.601,0.315,0,0.333,0,0,0.524,0.68,0.68,0,0,0
1,0.315,0.657,0.315,0,0,0,0,0.524,0.68,0.68,0.478,0,0
1,0.333,0.475,0.333,0,0,0,0,0.403,0.692,0.692,0.719,0,0.104
1,0.333,0.322,0.333,0,0,0,0,0.403,0.692,0.692,0.391,0,0
1,0.333,0.336,0.333,0,0,0,0,0.403,0.692,0.692,0,0,0
1,0.333,0.35,0.333,0,0,0,0,0.403,0.692,0.692,0.273,0,0.317
0.667,0.196,0.336,0.196,0,0,0,0,0.279,0.579,0.579,0.953,0,0
0.667,0.196,0.392,0.196,0,0,0,0,0.279,0.579,0.579,0.391,0,0.0707
0.667,0.196,0.433,0.196,0,0,0,0,0.279,0.579,0.579,0.332,0,0.283
0.667,0.196,0.447,0.196,0,0,0,0,0.279,0.579,0.579,0,0,0.167
0.667,0.191,0.545,0.191,0,0,0,0,0.284,0.579,0.579,0,0,0
0.667,0.191,0.741,0.191,0,0,0,0,0.284,0.579,0.579,0,0,0
0.667,0.191,0.881,0.191,0,0,0,0,0.284,0.579,0.579,0,0,0.105
0.667,0.191,0.937,0.191,0,0,0,0,0.284,0.579,0.579,0,0,0
0.333,0.185,0.993,0.185,0,0,0,0,0.288,0.585,0.585,0,0,0.17
0.333,0.185,0.965,0.185,0,0,0,0,0.288,0.585,0.585,0,0,0
0.333,0.185,0.825,0.185,0,0,0,0,0.288,0.585,0.585,0,0,0.0838
0.333,0.185,0.699,0.185,0,0,0,0,0.288,0.585,0.585,0,0,0.335
0.333,0.181,0.559,0.181,0,0,0,0,0.284,0.591,0.591,0,0,0.335
0.333,0.181,0.517,0.181,0,0,0,0,0.284,0.591,0.591,0,0,0.251
0.333,0.181,0.517,0.181,0,0,0,0,0.284,0.591,0.591,0,0,0
0.333,0.181,0.503,0.181,0,0,0,0,0.284,0.591,0.591,0,0,0.0838
0,0.0493,0.461,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0493,0.503,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
0,0.0493,0.601,0.0493,0.867,0,0,0,0.258,0.465,0.465,0,0,0.0838
0,0.0493,0.657,0.0493,1,0,0,0,0.258,0.465,0.465,0,0,0
0.667,0.315,0.475,0.315,1,0,0,0,0.375,0.705,0.705,0,0,0.0838
0.667,0.315,0.322,0.315,1,0,0,0,0.375,0.705,0.705,0,0,0
0.667,0.315,0.336,0.315,0.267,0,0,0,0.375,0.705,0.705,0,0,0.168
0.333,0.182,0.35,0.182,0,0,0,0,0.316,0.585,0.585,0,0,0
0.333,0.198,0.336,0.198,0,0,0,0,0.321,0.597,0.597,0,0,0
