occupants,lighting_interior,lighting_exterior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
0.667,0.0505,0.559,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
0.667,0.0505,0.517,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
0.667,0.0505,0.517,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
0.667,0.0505,0.503,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
0.667,0.0505,0.461,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
0.667,0.0505,0.503,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
0.667,0.0505,0.601,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
0.667,0.0505,0.657,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
0.667,0.0505,0.475,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
0.667,0.0505,0.322,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
0.667,0.0505,0.336,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
0.667,0.0505,0.35,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
0.667,0.0505,0.336,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
0.667,0.0505,0.392,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
0.667,0.0505,0.433,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
0.667,0.0505,0.447,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.545,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.741,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.881,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.937,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.993,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.965,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.825,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.699,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.559,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.517,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.154,0.517,0.154,0,0,0,0,0.372,0.552,0.552,0,0,0.202
1,0.154,0.503,0.154,0,0,0,0,0.372,0.552,0.552,0,0,0.115
1,0.186,0.461,0.186,0,0,0,0,0.391,0.583,0.583,0,0,0
1,0.186,0.503,0.186,0,0,0,0,0.391,0.583,0.583,0,0,0.168
1,0.322,0.601,0.322,0,0,0,0,0.524,0.693,0.693,0,0,0
1,0.322,0.657,0.322,0.667,0,0,0,0.524,0.693,0.693,0,0,0.132
0.333,0.196,0.475,0.196,1,0,0,0,0.33,0.59,0.59,0,0,0
0.333,0.196,0.322,0.196,1,0,0,0,0.33,0.59,0.59,0,0,0
0.333,0.196,0.336,0.196,1,0,0,0,0.33,0.59,0.59,0,0,0
0.333,0.196,0.35,0.196,1,0,0,0,0.33,0.59,0.59,0,0,0
0.333,0.2,0.336,0.2,1,0,0,0,0.279,0.59,0.59,0,0,0
0.333,0.2,0.392,0.2,0.533,0,0,0,0.279,0.59,0.59,0,0,0
0.333,0.2,0.433,0.2,0,0,0,0,0.279,0.59,0.59,0,0,0
0.333,0.2,0.447,0.2,0,0,0,0,0.279,0.59,0.59,0,0,0
0.333,0.196,0.545,0.196,0,0,0,0,0.284,0.59,0.59,0,0,0.0883
0,0.0505,0.741,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0.177
0,0.0505,0.881,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
0,0.0505,0.937,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0.0883
0,0.0505,0.993,0.0505,0,0.133,0,0,0.258,0.474,0.474,0,0,0.0883
0,0.0505,0.965,0.0505,0,0.933,0,0,0.258,0.474,0.474,0,0,0
0.333,0.189,0.825,0.189,0,0,0,0,0.288,0.596,0.596,0,0,0
0.333,0.189,0.699,0.189,0,0,0,0,0.288,0.596,0.596,0.285,0,0
0.333,0.185,0.559,0.185,0,0,0,0,0.284,0.603,0.603,0.253,0,0
0.333,0.185,0.517,0.185,0,0,0,0,0.284,0.603,0.603,0.332,0,0.0883
0,0.0505,0.517,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
0.333,0.185,0.503,0.185,0,0,0,0,0.284,0.603,0.603,0,0,0.0883
0.333,0.184,0.461,0.184,0,0,0,0,0.302,0.603,0.603,0,0,0.0883
0.333,0.184,0.503,0.184,0,0,0,0,0.302,0.603,0.603,0,0,0
0,0.0505,0.601,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0.0883
0.333,0.184,0.657,0.184,0,0,0,0,0.302,0.603,0.603,0,0,0.0883
0.333,0.186,0.475,0.186,0,0,0,0,0.316,0.596,0.596,0,0,0
0.333,0.186,0.322,0.186,0,0,0,0,0.316,0.596,0.596,0,0,0
0.333,0.186,0.336,0.186,0,0,0,0,0.316,0.596,0.596,0,0,0
0.333,0.186,0.35,0.186,0,0,0,0,0.316,0.596,0.596,0,0,0
0.333,0.203,0.336,0.203,0,0,0,0,0.321,0.609,0.609,0,0,0
0.333,0.203,0.392,0.203,0,0,0,0,0.321,0.609,0.609,0,0,0.0883
0,0.0505,0.433,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
0,0.0505,0.447,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
0,0.0505,0.545,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
0,0.0505,0.741,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
0,0.0505,0.881,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0.0883
0.333,0.244,0.937,0.244,0,0,0,0,0.354,0.622,0.622,0,0,0.0883
0.333,0.312,0.993,0.312,0.667,0,0,0,0.419,0.647,0.647,0,0,0
0.333,0.312,0.965,0.312,0.333,0,0,0,0.419,0.647,0.647,0,0,0.0883
0.333,0.312,0.825,0.312,0,0,0,0,0.419,0.647,0.647,0,0,0
0.333,0.312,0.699,0.312,0,0,0,0,0.419,0.647,0.647,0,0,0.0883
0.333,0.37,0.559,0.37,0,0,0,0,0.465,0.653,0.653,0,0,0.442
0.333,0.37,0.517,0.37,0,0,0,0,0.465,0.653,0.653,0,0,0.0883
0.333,0.37,0.517,0.37,0,0,0,0,0.465,0.653,0.653,0,0,0
0.333,0.37,0.503,0.37,0,0,0,0,0.465,0.653,0.653,0,0,0
0.333,0.367,0.461,0.367,0,0,0,0,0.484,0.634,0.634,0,0,0
0.333,0.367,0.503,0.367,0,0,0,0,0.484,0.634,0.634,0,0,0
0.333,0.367,0.601,0.367,0,0,0,0,0.484,0.634,0.634,0,0,0
0.333,0.367,0.657,0.367,0,0,0,0,0.484,0.634,0.634,0,0,0
0.333,0.306,0.475,0.306,0,0,0,0,0.503,0.615,0.615,0,0,0
0.333,0.306,0.322,0.306,0,0,0,0,0.503,0.615,0.615,0,0,0.0883
0.333,0.306,0.336,0.306,0,0,0,0,0.503,0.615,0.615,0,0,0.475
0.333,0.306,0.35,0.306,0,0,0,0,0.503,0.615,0.615,0,0,0.0883
0.667,0.239,0.336,0.239,0,0,0,0,0.493,0.603,0.603,0,0,0.442
1,0.428,0.392,0.428,0,0,0,0,0.729,0.731,0.731,0,0,0.145
0.667,0.239,0.433,0.239,0,0,0,0,0.493,0.603,0.603,0,0,0.0883
0.667,0.239,0.447,0.239,0,0,0,0,0.493,0.603,0.603,0,0,0.265
0.667,0.212,0.545,0.212,0,0,0,0,0.447,0.571,0.571,0,0,0.265
0.667,0.212,0.741,0.212,0,0,0,0,0.447,0.571,0.571,0,0,0
1,0.373,0.881,0.373,0,0,0,0,0.636,0.667,0.667,0,0,0.218
1,0.212,0.937,0.212,0,0,0,0,0.447,0.571,0.571,0,0,0.0883
1,0.118,0.993,0.118,0,0,0,0,0.405,0.545,0.545,0,0,0.353
1,0.0505,0.965,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0.0883
1,0.0505,0.825,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.699,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.559,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.517,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.517,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.503,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.461,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.503,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.601,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0.0883
1,0.0505,0.657,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0.353
1,0.0505,0.475,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.322,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.336,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.35,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.336,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.392,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.433,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.447,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.545,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.741,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.881,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.937,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.993,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.965,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.825,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.0505,0.699,0.0505,0,0,0,0,0.258,0.474,0.474,0,0,0
1,0.154,0.559,0.154,0,0,0,0,0.372,0.552,0.552,0,0,0.199
1,0.258,0.517,0.258,0,0,0,0,0.487,0.629,0.629,0,0,0.0569
1,0.258,0.517,0.258,0,0,0,0,0.487,0.629,0.629,0,0,0
1,0.258,0.503,0.258,0,0,0,0,0.487,0.629,0.629,0,0,0.168
0.667,0.322,0.461,0.322,0,0,0,0,0.524,0.693,0.693,0,0,0
0.667,0.322,0.503,0.322,0,0,0,0,0.524,0.693,0.693,0,0,0
0.667,0.322,0.601,0.322,0,0,0,0,0.524,0.693,0.693,0,0,0.346
0.667,0.322,0.657,0.322,0,0,0,0,0.524,0.693,0.693,0,0,0.0918
1,0.486,0.475,0.486,0,0,0,0,0.475,0.821,0.821,0,0,0
1,0.486,0.322,0.486,0,0,0,0,0.475,0.821,0.821,0,0,0.602
1,0.486,0.336,0.486,0,0,0,0,0.475,0.821,0.821,0,0,0.246
1,0.486,0.35,0.486,0.667,0,0,0,0.475,0.821,0.821,0,0,0
1,0.5,0.336,0.5,1,0,0,0,0.322,0.821,0.821,0,0,0.195
1,0.5,0.392,0.5,1,0,0,0,0.322,0.821,0.821,0,0,0.0279
1,0.5,0.433,0.5,1,0,0,0,0.322,0.821,0.821,0,0,0.0883
1,0.5,0.447,0.5,0.467,0,0,0,0.322,0.821,0.821,0,0,0
0.667,0.341,0.545,0.341,0,0.133,0,0,0.31,0.705,0.705,0,0,0.0883
0.667,0.341,0.741,0.341,0,0.933,0,0,0.31,0.705,0.705,0,0,0.353
0.667,0.341,0.881,0.341,0,0,0,0,0.31,0.705,0.705,0,0,0
0.667,0.341,0.937,0.341,0,0,0,0,0.31,0.705,0.705,0.34,0,0
0.667,0.328,0.993,0.328,0,0,0,0,0.319,0.718,0.718,0.372,0,0
0.667,0.328,0.965,0.328,0,0,0,0,0.319,0.718,0.718,0.676,0,0
0.667,0.328,0.825,0.328,0,0,0,0,0.319,0.718,0.718,0.225,0,0
0.667,0.328,0.699,0.328,0,0,0,0,0.319,0.718,0.718,0,0,0
0.333,0.185,0.559,0.185,0,0,0,0,0.284,0.603,0.603,0,0,0.0883
0.333,0.185,0.517,0.185,0,0,0,0,0.284,0.603,0.603,0,0,0.0883
0.333,0.185,0.517,0.185,0,0,0,0,0.284,0.603,0.603,0,0,0.0883
0.333,0.185,0.503,0.185,0,0,0,0,0.284,0.603,0.603,0,0,0
0.333,0.184,0.461,0.184,0,0,0,0,0.302,0.603,0.603,0,0,0
0.667,0.317,0.503,0.317,0,0,0,0,0.347,0.731,0.731,0,0,0.0883
0.333,0.184,0.601,0.184,0,0,0,0,0.302,0.603,0.603,0,0,0.0883
0.667,0.317,0.657,0.317,0,0,0,0,0.347,0.731,0.731,0,0,0
0.667,0.322,0.475,0.322,0,0,0,0,0.375,0.718,0.718,0,0,0
0.333,0.186,0.322,0.186,0.667,0,0,0,0.316,0.596,0.596,0,0,0
0.333,0.186,0.336,0.186,1,0,0,0,0.316,0.596,0.596,0,0,0
0.333,0.186,0.35,0.186,1,0,0,0,0.316,0.596,0.596,0,0,0.0883
0.333,0.203,0.336,0.203,1,0,0,0,0.321,0.609,0.609,0,0,0
0.333,0.203,0.392,0.203,1,0,0,0,0.321,0.609,0.609,0,0,0
0.333,0.203,0.433,0.203,1,0,0,0,0.321,0.609,0.609,0,0,0.0883
0.333,0.203,0.447,0.203,1,0,0,0,0.321,0.609,0.609,0,0,0.0883
0.333,0.244,0.545,0.244,1,0,0,0,0.354,0.622,0.622,0,0,0
0.333,0.244,0.741,0.244,0.6,0,0,0,0.354,0.622,0.622,0,0,0
0.667,0.437,0.881,0.437,0,0,0,0,0.449,0.769,0.769,0,0,0.3
0.667,0.437,0.937,0.437,0,0,0,0,0.449,0.769,0.769,0,0,0.179
0.667,0.574,0.993,0.574,0,0,0,0,0.58,0.82,0.82,0,0,0.0883
0.667,0.574,0.965,0.574,0,0,0,0,0.58,0.82,0.82,0,0,0.402
0.667,0.574,0.825,0.574,0,0,0,0,0.58,0.82,0.82,0,0,0.177
0.667,0.574,0.699,0.574,0,0,0,0,0.58,0.82,0.82,0,0,0
0.667,0.69,0.559,0.69,0,0,0,0,0.673,0.833,0.833,0,0,0.258
0.667,0.69,0.517,0.69,0,0,0,0,0.673,0.833,0.833,0,0,0
0.667,0.69,0.517,0.69,0,0,0,0,0.673,0.833,0.833,0,0,0.0312
0.667,0.69,0.503,0.69,0,0,0,0,0.673,0.833,0.833,0,0,0.556
0.667,0.683,0.461,0.683,0,0,0,0,0.711,0.795,0.795,0,0,0
0.667,0.683,0.503,0.683,0,0,0,0,0.711,0.795,0.795,0,0,0
0.667,0.683,0.601,0.683,0,0,0,0,0.711,0.795,0.795,0,0,0.246
1,1,0.657,1,0,0,0,0,0.937,0.955,0.955,0,0,0
1,0.817,0.475,0.817,0,0,0,0,0.993,0.897,0.897,0,0,0
1,0.817,0.322,0.817,0,0,0,0,0.993,0.897,0.897,0,0,0.378
1,0.817,0.336,0.817,0,0,0,0,0.993,0.897,0.897,0,0,0.353
