occupants,lighting_interior,lighting_exterior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.074,0.559,0.074,0,0,0,0,0.358,0.529,0.529,0,0,0
1,0.074,0.517,0.074,0,0,0,0,0.358,0.529,0.529,0,0,0
1,0.074,0.517,0.074,0,0,0,0,0.358,0.529,0.529,0,0,0
1,0.074,0.503,0.074,0,0,0,0,0.358,0.529,0.529,0,0,0
1,0.0576,0.461,0.0576,0,0,0,0,0.344,0.516,0.516,0,0,0
1,0.0576,0.503,0.0576,0,0,0,0,0.344,0.516,0.516,0,0,0
1,0.0576,0.601,0.0576,0,0,0,0,0.344,0.516,0.516,0,0,0
1,0.0576,0.657,0.0576,0,0,0,0,0.344,0.516,0.516,0,0,0
1,0.0493,0.475,0.0493,0,0,0,0,0.344,0.51,0.51,0,0,0
1,0.0493,0.322,0.0493,0,0,0,0,0.344,0.51,0.51,0,0,0
1,0.0493,0.336,0.0493,0,0,0,0,0.344,0.51,0.51,0,0,0
1,0.0493,0.35,0.0493,0,0,0,0,0.344,0.51,0.51,0,0,0
1,0.0493,0.336,0.0493,0,0,0,0,0.34,0.504,0.504,0,0,0
1,0.0493,0.392,0.0493,0,0,0,0,0.34,0.504,0.504,0,0,0
1,0.0493,0.433,0.0493,0,0,0,0,0.34,0.504,0.504,0,0,0
1,0.0493,0.447,0.0493,0,0,0,0,0.34,0.504,0.504,0,0,0
1,0.0512,0.545,0.0512,0,0,0,0,0.326,0.51,0.51,0,0,0
1,0.0512,0.741,0.0512,0,0,0,0,0.326,0.51,0.51,0,0,0
1,0.0512,0.881,0.0512,0,0,0,0,0.326,0.51,0.51,0,0,0
1,0.0512,0.937,0.0512,0,0,0,0,0.326,0.51,0.51,0,0,0
1,0.0831,0.993,0.0831,0,0,0,0,0.34,0.516,0.516,0,0,0
1,0.0831,0.965,0.0831,0,0,0,0,0.34,0.516,0.516,0,0,0
1,0.0831,0.825,0.0831,0,0,0,0,0.34,0.516,0.516,0,0,0
