occupants,lighting_interior,lighting_exterior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0493,0.559,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.517,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.517,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.503,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.461,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.503,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.0672
1,0.0493,0.601,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.657,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.475,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.322,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.336,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.35,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.336,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.392,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.433,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.447,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.545,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.741,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.881,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.937,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.993,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.965,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.825,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.699,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.151,0.559,0.151,0,0,0,0,0.372,0.541,0.541,0,0,0
1,0.151,0.517,0.151,0,0,0,0,0.372,0.541,0.541,0,0,0
1,0.151,0.517,0.151,0,0,0,0,0.372,0.541,0.541,0,0,0.29
1,0.151,0.503,0.151,0,0,0,0,0.372,0.541,0.541,0,0,0.0223
1,0.315,0.461,0.315,0,0,0,0,0.524,0.68,0.68,0,0,0
1,0.315,0.503,0.315,0,0,0,0,0.524,0.68,0.68,0,0,0.146
1,0.315,0.601,0.315,0,0,0,0,0.524,0.68,0.68,0,0,0
1,0.315,0.657,0.315,0,0,0,0,0.524,0.68,0.68,0,0,0
1,0.333,0.475,0.333,0,0,0,0,0.403,0.692,0.692,0,0,0.274
0.667,0.191,0.322,0.191,0,0,0,0,0.33,0.579,0.579,0,0,0
0.667,0.333,0.336,0.333,0,0,0,0,0.403,0.692,0.692,0,0,0
0.667,0.333,0.35,0.333,0,0,0,0,0.403,0.692,0.692,0,0,0
0.667,0.342,0.336,0.342,0,0,0,0,0.3,0.692,0.692,0,0,0.0991
0.667,0.342,0.392,0.342,0,0,0,0,0.3,0.692,0.692,0,0,0.0991
0.333,0.196,0.433,0.196,0,0,0,0,0.279,0.579,0.579,0,0,0.134
0.333,0.196,0.447,0.196,0,0,0.867,0,0.279,0.579,0.579,0,0,0.269
0.333,0.191,0.545,0.191,0,0,1,0,0.284,0.579,0.579,0,0,0.201
0.667,0.333,0.741,0.333,0,0,1,0,0.31,0.692,0.692,0,0.318,0.0672
0.667,0.333,0.881,0.333,0,0,0,0.467,0.31,0.692,0.692,0,0.557,0.0672
0.667,0.333,0.937,0.333,0,0,0,1,0.31,0.692,0.692,0,0.0871,0
0.667,0.321,0.993,0.321,0,0,0,0.667,0.319,0.705,0.705,0,0.545,0.134
0.667,0.321,0.965,0.321,0,0,0,0,0.319,0.705,0.705,0.307,0.348,0.134
0.667,0.321,0.825,0.321,0,0,0,0,0.319,0.705,0.705,0.321,0.227,0
0.667,0.321,0.699,0.321,0,0.4,0,0,0.319,0.705,0.705,0.361,0.22,0
0.667,0.312,0.559,0.312,0,1,0,0,0.31,0.717,0.717,0.607,0.492,0
0.667,0.312,0.517,0.312,0,0.733,0,0,0.31,0.717,0.717,0.275,0.36,0
0.667,0.312,0.517,0.312,0,0,0,0,0.31,0.717,0.717,0,0.5,0.0672
0.667,0.312,0.503,0.312,0,0,0,0,0.31,0.717,0.717,0,0.371,0
0.667,0.31,0.461,0.31,0,0,0,0,0.347,0.717,0.717,0,0.477,0
0.667,0.31,0.503,0.31,0,0,0,0,0.347,0.717,0.717,0,0.284,0.134
0.667,0.31,0.601,0.31,0,0,0,0,0.347,0.717,0.717,0,0.678,0
0.667,0.31,0.657,0.31,0,0,0,0,0.347,0.717,0.717,0,0.481,0
0.667,0.315,0.475,0.315,0,0,0,0,0.375,0.705,0.705,0,0.25,0.0672
0.667,0.315,0.322,0.315,0,0,0,0,0.375,0.705,0.705,0,0.525,0
0.667,0.315,0.336,0.315,0.267,0,0,0,0.375,0.705,0.705,0,0.445,0
0.667,0.315,0.35,0.315,1,0,0,0,0.375,0.705,0.705,0,0,0
0.667,0.347,0.336,0.347,1,0,0,0,0.384,0.73,0.73,0,0,0.201
0.667,0.347,0.392,0.347,1,0,0,0,0.384,0.73,0.73,0,0,0
0.667,0.347,0.433,0.347,0.867,0,0,0,0.384,0.73,0.73,0,0,0
0.667,0.347,0.447,0.347,0.267,0,0,0,0.384,0.73,0.73,0,0,0
0.667,0.427,0.545,0.427,1,0,0,0,0.449,0.755,0.755,0,0,0.0672
0.667,0.427,0.741,0.427,0.8,0,0,0,0.449,0.755,0.755,0,0,0
0.667,0.427,0.881,0.427,0,0,0,0,0.449,0.755,0.755,0,0,0
1,0.616,0.937,0.616,0,0,0,0,0.545,0.899,0.899,0,0,0
0.667,0.561,0.993,0.561,0,0,0,0,0.58,0.805,0.805,0,0,0
0.667,0.561,0.965,0.561,0,0,0,0,0.58,0.805,0.805,0,0,0.297
0.667,0.561,0.825,0.561,0,0,0,0,0.58,0.805,0.805,0,0,0.116
1,0.817,0.699,0.817,0,0,0,0,0.741,0.974,0.974,0,0,0
1,0.986,0.559,0.986,0,0,0,0,0.881,0.993,0.993,0.168,0,0.428
1,0.986,0.517,0.986,0,0,0,0,0.881,0.993,0.993,0.236,0,0.406
1,0.986,0.517,0.986,0,0.4,0,0,0.881,0.993,0.993,0.396,0,0
0.667,0.674,0.503,0.674,0,1,0,0,0.673,0.817,0.817,0.364,0,0
0.667,0.668,0.461,0.668,0,1,0,0,0.711,0.78,0.78,0,0,0.332
0.667,0.668,0.503,0.668,0,0.8,0,0,0.711,0.78,0.78,0,0,0.134
0.667,0.668,0.601,0.668,0,0,0,0,0.711,0.78,0.78,0,0,0
0.667,0.668,0.657,0.668,0,0,0,0,0.711,0.78,0.78,0,0,0.154
0.667,0.549,0.475,0.549,0,0,0,0,0.748,0.742,0.742,0,0,0.0877
0.667,0.549,0.322,0.549,0,0,0,0,0.748,0.742,0.742,0,0,0.0672
1,0.549,0.336,0.549,0,0,0,0,0.748,0.742,0.742,0,0,0.162
1,0.549,0.35,0.549,0,0,0,0,0.748,0.742,0.742,0,0,0
1,0.418,0.336,0.418,0,0,0,0,0.729,0.717,0.717,0,0,0
1,0.418,0.392,0.418,0,0,0,0,0.729,0.717,0.717,0,0,0
1,0.418,0.433,0.418,0,0,0,0,0.729,0.717,0.717,0,0,0.134
1,0.418,0.447,0.418,0,0,0,0,0.729,0.717,0.717,0,0,0
1,0.365,0.545,0.365,0,0,0,0,0.636,0.655,0.655,0,0,0
1,0.365,0.741,0.365,0,0,0.867,0,0.636,0.655,0.655,0,0,0
1,0.365,0.881,0.365,0,0,1,0,0.636,0.655,0.655,0,0,0
1,0.365,0.937,0.365,0,0,1,0,0.636,0.655,0.655,0,0.369,0
1,0.182,0.993,0.182,0,0,0,0.467,0.552,0.605,0.605,0,0.589,0
1,0.182,0.965,0.182,0,0,0,0.6,0.552,0.605,0.605,0,0.538,0
1,0.182,0.825,0.182,0,0,0,0,0.552,0.605,0.605,0,0.22,0
1,0.182,0.699,0.182,0,0,0,0,0.552,0.605,0.605,0,0.568,0
1,0.0987,0.559,0.0987,0,0,0,0,0.459,0.592,0.592,0,0.208,0
1,0.0987,0.517,0.0987,0,0,0,0,0.459,0.592,0.592,0,0.163,0
1,0.0987,0.517,0.0987,0,0,0,0,0.459,0.592,0.592,0,0.227,0
1,0.0987,0.503,0.0987,0,0,0,0,0.459,0.592,0.592,0,0.22,0
1,0.0658,0.461,0.0658,0,0,0,0,0.431,0.567,0.567,0,0.197,0
1,0.0658,0.503,0.0658,0,0,0,0,0.431,0.567,0.567,0,0.403,0
1,0.0576,0.601,0.0576,0,0,0,0,0.344,0.516,0.516,0,0.949,0
1,0.0576,0.657,0.0576,0,0,0,0,0.344,0.516,0.516,0,0.504,0
1,0.0493,0.475,0.0493,0,0,0,0,0.344,0.51,0.51,0,0.438,0
1,0.0493,0.322,0.0493,0,0,0,0,0.344,0.51,0.51,0,0.206,0
1,0.0493,0.336,0.0493,0,0,0,0,0.344,0.51,0.51,0,0.227,0
1,0.0493,0.35,0.0493,0,0,0,0,0.344,0.51,0.51,0,0.0871,0
1,0.0493,0.336,0.0493,0,0,0,0,0.34,0.504,0.504,0,0.227,0
1,0.0493,0.392,0.0493,0,0,0,0,0.34,0.504,0.504,0,0.318,0
1,0.0493,0.433,0.0493,0,0,0,0,0.34,0.504,0.504,0,0.447,0
1,0.0493,0.447,0.0493,0,0,0,0,0.34,0.504,0.504,0,0.307,0
1,0.0493,0.545,0.0493,0,0,0,0,0.258,0.465,0.465,0,0.208,0
1,0.0493,0.741,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.881,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.937,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.993,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.965,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.825,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.699,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.559,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.517,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.517,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.134
1,0.0493,0.503,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0493,0.461,0.0493,0,0,0,0,0.258,0.465,0.465,0,0,0.163
1,0.182,0.503,0.182,0,0,0,0,0.391,0.572,0.572,0,0,0.0233
1,0.315,0.601,0.315,0,0,0,0,0.524,0.68,0.68,0,0,0
1,0.315,0.657,0.315,0,0,0,0,0.524,0.68,0.68,0,0,0.0728
1,0.333,0.475,0.333,0,0,0,0,0.403,0.692,0.692,0,0,0
1,0.333,0.322,0.333,0,0,0,0,0.403,0.692,0.692,0,0,0
0.667,0.191,0.336,0.191,0,0,0,0,0.33,0.579,0.579,0,0,0
0.667,0.191,0.35,0.191,0,0,0,0,0.33,0.579,0.579,0,0,0
0.667,0.196,0.336,0.196,0,0,0,0,0.279,0.579,0.579,0,0,0
0.667,0.196,0.392,0.196,0,0,0,0,0.279,0.579,0.579,0,0,0
0.667,0.196,0.433,0.196,0,0,0,0,0.279,0.579,0.579,0,0,0
